config,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,num_weeks,k
Complete,4270.655270655271,4.02909846829901,4922.107727663283,34.833163288789706,4468.211462171665,6.04622106090796,3,10
No Pre-training,3410.2564102564093,45.76176183535335,3942.592387036831,75.15480587658188,3570.7914342377567,38.59150022998367,3,10
CNN-EMA Baseline,2478.6324786324785,6.978603255792507,2838.6808664586442,97.76716654596757,2590.103939419914,31.10438296944413,3,10
No Personalization,2472.934472934473,40.89088345984987,2831.9386374941923,29.178389371627905,2582.326867659355,33.281614777364176,3,10
